threshold,fpr,tpr,delta_fpr,avg_tpr,segment_area,cumulative_auc
0.999890164057668,0.000000,0.390456,0.000000,0.390359,0.000000,0.000000
0.9998895757861483,0.000000,0.390553,0.000000,0.390504,0.000000,0.000000
0.9998887457132386,0.000000,0.390697,0.000000,0.390625,0.000000,0.000000
0.9998879646618604,0.000000,0.390939,0.000000,0.390818,0.000000,0.000000
0.9998860446279707,0.000000,0.391036,0.000000,0.390987,0.000000,0.000000
0.9998858840346917,0.000000,0.391132,0.000000,0.391084,0.000000,0.000000
0.9998853487383045,0.000000,0.391180,0.000000,0.391156,0.000000,0.000000
0.9998840207719559,0.000000,0.391277,0.000000,0.391229,0.000000,0.000000
0.999882786616793,0.000000,0.391325,0.000000,0.391301,0.000000,0.000000
0.9998820032386254,0.000000,0.391615,0.000000,0.391470,0.000000,0.000000
0.9998809881296237,0.000000,0.392195,0.000000,0.391905,0.000000,0.000000
0.9998798384031673,0.000000,0.392243,0.000000,0.392219,0.000000,0.000000
0.9998794581331952,0.000000,0.392436,0.000000,0.392340,0.000000,0.000000
0.9998762827064449,0.000000,0.392823,0.000000,0.392629,0.000000,0.000000
0.9998736615774939,0.000000,0.392919,0.000000,0.392871,0.000000,0.000000
0.99987338576144,0.000000,0.393064,0.000000,0.392992,0.000000,0.000000
0.9998725132050539,0.000000,0.393112,0.000000,0.393088,0.000000,0.000000
0.9998695868251893,0.000000,0.393499,0.000000,0.393306,0.000000,0.000000
0.9998693978068117,0.000000,0.393740,0.000000,0.393620,0.000000,0.000000
0.9998684798502394,0.000000,0.394078,0.000000,0.393909,0.000000,0.000000
0.9998633373280684,0.000000,0.394223,0.000000,0.394151,0.000000,0.000000
0.9998616310427999,0.000000,0.394320,0.000000,0.394272,0.000000,0.000000
0.9998566359967894,0.000000,0.394417,0.000000,0.394368,0.000000,0.000000
0.9998562743950993,0.000000,0.394561,0.000000,0.394489,0.000000,0.000000
0.9998548871452074,0.000000,0.394610,0.000000,0.394586,0.000000,0.000000
0.99985453816949,0.000000,0.394706,0.000000,0.394658,0.000000,0.000000
